DATE,MAP,TYPE,OUTCOME,SCORE 
6/8/17,Ballroom Blitz,Assault,Victory,3917
6/8/17,St Quentin Scar,Medic,Victory,5093
6/8/17,Giant's Shadow,Scout,Defeat,4588
6/8/17,Suez,Assault,Defeat,4964
6/8/17,Monte Grappa,Medic,Victory,2862
6/8/17,Argonne Forest,Scout,Victory,2411
6/8/17,Amiens,Assault,Victory,5804
6/8/17,Giant's Shadow,Medic,Victory,7121
6/8/17,Amiens,Scout,Defeat,3121
6/9/17,St Quentin Scar,Assault,Defeat,4029
6/9/17,Monte Grappa,Medic,Defeat,886
6/9/17,Ballroom Blitz,Scout,Victory,2921
6/9/17,Amiens,Assault,Defeat,7098
6/9/17,Sinai Desert,Medic,Defeat,3141
6/9/17,Ballroom Blitz,Scout,Victory,2627
6/9/17,St Quentin Scar,Assault,Victory,5198
6/9/17,Suez,Medic,Defeat,6790
6/9/17,Amiens,Scout,Victory,4282
6/9/17,Empire's Edge,Assault,Victory,4027
6/10/17,Argonne Forest,Medic,Defeat,4532
6/10/17,Amiens,Scout,Defeat,2177
6/10/17,Ballroom Blitz,Assault,Victory,4103
6/10/17,Giant's Shadow,Medic,Defeat,3606
6/10/17,Argonne Forest,Scout,Victory,4299
6/10/17,Empire's Edge,Assault,Defeat,3006
6/11/17,Sinai Desert,Medic,Defeat,4694
6/11/17,Giant's Shadow,Scout,Defeat,395
6/11/17,Amiens,Assault,Defeat,4028
6/11/17,Ballroom Blitz,Medic,Victory,5365
6/11/17,Fao Fortress,Scout,Defeat,3349
6/11/17,Sinai Desert,Assault,Victory,5224
6/11/17,St Quentin Scar,Medic,Defeat,3251
6/11/17,Monte Grappa,Scout,Defeat,1980
6/12/17,Giant's Shadow,Assault,Victory,4074
6/12/17,Ballroom Blitz,Medic,Victory,3381
6/12/17,Monte Grappa,Scout,Defeat,5660
6/12/17,Argonne Forest,Assault,Defeat,9479
6/12/17,Amiens,Medic,Defeat,3730
6/12/17,Suez,Scout,Victory,1412
6/12/17,Argonne Forest,Assault,Defeat,3951
6/13/17,Amiens,Medic,Defeat,3707
6/13/17,Monte Grappa,Scout,Defeat,2210
6/13/17,Giant's Shadow,Assault,Victory,2828
6/14/17,Amiens,Medic,Defeat,4546
6/14/17,Ballroom Blitz,Scout,Defeat,1241
6/14/17,Argonne Forest,Assault,Victory,5325
6/14/17,Sinai Desert,Medic,Defeat,3370
6/14/17,Suez,Scout,Defeat,884
6/14/17,Ballroom Blitz,Assault,Defeat,1277
6/14/17,Sinai Desert,Medic,Defeat,2999
6/14/17,Ballroom Blitz,Scout,Defeat,1157
6/14/17,Giant's Shadow,Assault,Defeat,3275
6/15/17,Fao Fortress,Medic,Victory,4181
6/15/17,Giant's Shadow,Scout,Defeat,1410
6/15/17,St Quentin Scar,Assault,Defeat,3922
6/15/17,Giant's Shadow,Medic,Defeat,6804
6/15/17,Amiens,Scout,Victory,986
6/15/17,Empire's Edge,Assault,Defeat,1052
6/15/17,Suez,Medic,Defeat,5679
6/15/17,Sinai Desert,Scout,Victory,1990
6/16/17,Sinai Desert,Assault,Victory,2742
6/16/17,Ballroom Blitz,Medic,Victory,5592
6/16/17,Fao Fortress,Scout,Defeat,376
6/16/17,Monte Grappa,Scout,Defeat,1453
6/17/17,Ballroom Blitz,Assault,Victory,4152
6/17/17,Suez,Medic,Defeat,6517
6/17/17,St Quentin Scar,Scout,Victory,2675
6/17/17,Amiens,Assault,Defeat,5546
6/17/17,Monte Grappa,Medic,Defeat,3095
6/17/17,Suez,Scout,Victory,3119
6/18/17,Monte Grappa,Assault,Victory,4390
6/18/17,Ballroom Blitz,Medic,Victory,2754
6/18/17,Suez,Scout,Victory,1486
6/20/17,Empire's Edge,Assault,Victory,4225
6/20/17,Giant's Shadow,Medic,Defeat,3481
6/20/17,Argonne Forest,Scout,Victory,2107
6/21/17,Monte Grappa,Assault,Defeat,3930
6/21/17,Empire's Edge,Medic,Victory,5542
6/21/17,Fao Fortress,Scout,Defeat,1018
6/22/17,Amiens,Assault,Victory,3617
6/22/17,Suez,Medic,Victory,6020
6/22/17,Giant's Shadow,Scout,Victory,2418
6/22/17,Amiens,Assault,Defeat,3272
6/22/17,Suez,Medic,Victory,3676
6/23/17,Giant's Shadow,Scout,Defeat,2837
6/24/17,Ballroom Blitz,Assault,Victory,3620
6/24/17,Suez,Medic,Victory,2312
6/25/17,Suez,Scout,Defeat,1847
6/25/17,Monte Grappa,Assault,Victory,3506
6/25/17,Ballroom Blitz,Medic,Victory,5552
6/25/17,Amiens,Scout,Defeat,2607
6/25/17,Giant's Shadow,Assault,Defeat,2125
6/26/17,Suez,Medic,Defeat,3663
6/26/17,Giant's Shadow,Scout,Defeat,3246
